Lat,Lon,RSSI,SNR,Dist
49.2064669,16.6122628,-99,6,0.732115257092352
49.2064669,16.6122628,-104,3,2.52187978301817
49.2064669,16.6122628,-115,-9.8,4.87279404649107
49.2064669,16.6122628,-123,-15.5,9.59364545508501
49.2064669,16.6122628,-125,-14,3.66185208181754
49.2095144,16.6157014,-101,-3,2.88093702868258
49.2095144,16.6157014,-107,-7.8,1.58223679676036
49.2095144,16.6157014,-112,-3.2,1.14313025444422
49.2095144,16.6157014,-112,-12.2,1.73920470746657
49.2021217,16.6263108,-106,-1.2,1.63578696519766
49.2021217,16.6263108,-112,-13.5,2.79681334732678
49.2021217,16.6263108,-106,-18,4.18239475315634
49.2021217,16.6263108,-109,-10.8,1.63578696519766
49.2021217,16.6263108,-113,-10.5,1.29556365026353
49.2064669,16.6122628,-100,3.2,0.732115257092352
49.2064669,16.6122628,-111,-5.2,2.52187978301817
49.2064669,16.6122628,-115,-8.5,4.87279404649107
49.2064669,16.6122628,-117,-16,3.66185208181754
49.2064669,16.6122628,-119,-9.2,2.15464731851863
49.2095144,16.6157014,-92,9.2,2.88093702868258
49.2095144,16.6157014,-101,5.8,1.14313025444422
49.2095144,16.6157014,-107,-11.8,3.57496306889602
49.2095144,16.6157014,-114,-10.5,37.9075074689073
49.2095144,16.6157014,-116,-3.5,4.52165182390908
49.2095144,16.6157014,-117,-5.5,3.60202709703628
49.2095144,16.6157014,-117,-10.8,1.73920470746657
49.2095144,16.6157014,-117,-12.5,19.3428972507743
49.2095144,16.6157014,-121,-10.2,9.33571086877631
49.2095144,16.6157014,-101,5,2.88093702868258
49.2095144,16.6157014,-110,-4.8,4.52165182390908
49.2095144,16.6157014,-112,-2.8,3.57496306889602
49.2095144,16.6157014,-113,-2.8,1.14313025444422
49.2095144,16.6157014,-114,-8,1.58223679676036
49.2095144,16.6157014,-115,-11.5,1.73920470746657
49.2095144,16.6157014,-121,-12.2,9.33571086877631
49.2104719,16.6185339,-99,3.8,3.11232276539459
49.2104719,16.6185339,-101,-2.2,4.29277373623127
49.2104719,16.6185339,-103,1.5,1.33709888497035
49.2104719,16.6185339,-103,-4.2,1.55937899622727
49.2104719,16.6185339,-109,-5,3.65175146828889
49.2104719,16.6185339,-115,-15,19.4503767452262
49.2001797,16.6260992,-96,-9.2,1.84099680429974
49.2001797,16.6260992,-97,-12.8,2.58113255515532
49.2001797,16.6260992,-101,-4.5,2.6007674158148
49.2036706,16.6067375,-94,4.2,0.399968852890004
49.2036706,16.6067375,-100,-14.8,5.36216214513942
49.2036706,16.6067375,-89,5.8,0.399968852890004
49.2036706,16.6067375,-102,-8,2.62603596636723
49.2036706,16.6067375,-103,-6.2,5.36216214513942
49.2009622,16.6137958,-98,6,0.377562525403845
49.2009622,16.6137958,-106,-0.8,5.03083829896891
49.2009622,16.6137958,-114,-7,2.49682512467264
49.2104719,16.6185339,-97,-4,3.11232276539459
49.2104719,16.6185339,-97,-8,1.35074946845136
49.2104719,16.6185339,-103,-5.8,1.55937899622727
49.2104719,16.6185339,-107,1,1.33709888497035
49.2104719,16.6185339,-108,1.8,4.29277373623127
49.2104719,16.6185339,-117,-10.2,3.65175146828889
49.2104719,16.6185339,-93,-4.2,3.11232276539459
49.2104719,16.6185339,-99,-12,1.33709888497035
49.2104719,16.6185339,-102,0.5,1.55937899622727
49.2104719,16.6185339,-105,4.2,1.35074946845136
49.2104719,16.6185339,-107,2.5,4.29277373623127
49.2104719,16.6185339,-107,-9.2,3.65175146828889
49.2104719,16.6185339,-115,-8.2,3.69473284819985
49.2104719,16.6185339,-119,-14.2,19.4503767452262
49.2079353,16.6203753,-100,5.8,1.38367186826581
49.2079353,16.6203753,-100,5.2,3.13208421920373
49.2079353,16.6203753,-100,4,1.78927816686049
49.2079353,16.6203753,-105,-1.2,1.19960616436208
49.2079353,16.6203753,-108,1,4.26511490421475
49.2079353,16.6203753,-113,-5.2,3.41016544534813
49.2079353,16.6203753,-117,-9,3.94086347474381
49.2079353,16.6203753,-85,-8.2,1.38367186826581
49.2079353,16.6203753,-96,6.2,3.13208421920373
49.2079353,16.6203753,-101,1.8,1.78927816686049
49.2079353,16.6203753,-103,5.2,1.19960616436208
49.2079353,16.6203753,-105,-0.5,4.26511490421475
49.2079353,16.6203753,-113,-2.5,3.41016544534813
49.2079353,16.6203753,-119,-5.8,3.94086347474381
49.2079353,16.6203753,-119,-8.5,37.7111569132306
49.2079353,16.6203753,-119,-17.8,30.6110864151471
49.2009622,16.6137958,-90,5,0.377562525403845
49.2009622,16.6137958,-101,-4.2,5.03083829896891
49.2009622,16.6137958,-103,-11.5,2.49682512467264
49.2123147,16.6250422,-99,7,1.25427227567436
49.2123147,16.6250422,-106,4.5,0.835747371213538
49.2123147,16.6250422,-112,-8.2,3.77994291082686
49.2123147,16.6250422,-98,0,1.25427227567436
49.2123147,16.6250422,-100,-1,3.77994291082686
49.2123147,16.6250422,-103,1,0.835747371213538
49.2001797,16.6260992,-98,0.8,1.84099680429974
49.2001797,16.6260992,-108,2,2.6007674158148
49.2001797,16.6260992,-112,-4.8,3.3827196552527
49.2001797,16.6260992,-114,-9.2,4.31596479471172
49.2001797,16.6260992,-117,-10,2.58113255515532
