Lat,Lon,RSRP,RSSI,SNR,Dist
49.2033333,16.7157939,-68.7,-62,22.6,NaN
49.2033333,16.7157939,-70.8,-62.3,17.6,NaN
49.2033333,16.7157939,-70.6,-62.9,23.9,NaN
49.2033333,16.7157939,-68.5,-61.8,25.6,NaN
49.2033333,16.7157939,-69.7,-63,24.7,NaN
49.2033333,16.7157939,-75.7,-65.8,14.8,NaN
49.2033333,16.7157939,-84.6,-75.6,12.9,NaN
49.2033333,16.7157939,-71.6,-64.9,22.9,NaN
49.2033333,16.7157939,-74.4,-66.7,18.7,NaN
49.2033333,16.7157939,-76.7,-67.2,19.1,NaN
49.2044864,16.7075864,-50.4,-43.9,29.3,NaN
49.2044864,16.7075864,-54.7,-46,18.7,NaN
49.2044864,16.7075864,-62.7,-52.2,20.4,NaN
49.2044864,16.7075864,-51.6,-43.3,23.4,NaN
49.2044864,16.7075864,-57.6,-50.8,25.5,NaN
49.2044864,16.7075864,-55.3,-48.5,27.1,NaN
49.2044864,16.7075864,-54.2,-46.7,25.9,NaN
49.2044864,16.7075864,-63.2,-56.1,26.4,NaN
49.2062914,16.7016481,-75.6,-69.5,19.1,NaN
49.2062914,16.7016481,-78.5,-70.8,13.6,NaN
49.2062914,16.7016481,-82,-74.7,12,NaN
49.2062914,16.7016481,-88.9,-79.5,6.4,NaN
49.2062914,16.7016481,-83.4,-75.1,11.8,NaN
49.2062914,16.7016481,-83.7,-75.8,12.8,NaN
49.2062914,16.7016481,-79.1,-72.6,18.3,NaN
49.2062914,16.7016481,-80.2,-73.4,17.6,NaN
49.2062914,16.7016481,-80.9,-73.5,15,NaN
49.2062914,16.7016481,-82.8,-74,12.8,NaN
49.2070275,16.6954789,-76.7,-67.1,7,NaN
49.2070275,16.6954789,-76.2,-68.4,10.9,NaN
49.2070275,16.6954789,-78.3,-68.6,4.4,NaN
49.2070275,16.6954789,-79.7,-70.4,9.9,NaN
49.2070275,16.6954789,-83,-72.4,7.4,NaN
49.2070275,16.6954789,-79.1,-69.5,6.7,NaN
49.2070275,16.6954789,-77.8,-69.1,11.1,NaN
49.2070275,16.6954789,-78,-69.3,4.9,NaN
49.2070275,16.6954789,-79.1,-69.1,4.5,NaN
49.2070275,16.6954789,-79,-69.6,6.8,NaN
49.2072919,16.6926681,-67.6,-55.1,1.2,NaN
49.2072919,16.6926681,-71.5,-59.5,0.9,NaN
49.2072919,16.6926681,-68.8,-58.2,6.1,NaN
49.2072919,16.6926681,-69.9,-58.5,3.6,NaN
49.2072919,16.6926681,-66.9,-55.9,4.8,NaN
49.2072919,16.6926681,-71.5,-59.7,2,NaN
49.2072919,16.6926681,-69.3,-58.9,5.9,NaN
49.2072919,16.6926681,-69.8,-58.6,3.3,NaN
49.2072919,16.6926681,-63.1,-53.4,9.3,NaN
49.2072919,16.6926681,-70.5,-56.7,0.9,NaN
49.2090408,16.6865042,-86.8,-76.5,1.5,NaN
49.2090408,16.6865042,-86.5,-76.4,4.4,NaN
49.2090408,16.6865042,-86.5,-75,2.2,NaN
49.2090408,16.6865042,-89.6,-76.7,0.8,NaN
49.2090408,16.6865042,-88.7,-77.8,1.3,NaN
49.2090408,16.6865042,-86.5,-76.7,6.9,NaN
49.2090408,16.6865042,-87,-77.6,4.6,NaN
