Lat,Lon,RSRP,RSSI,SNR,Dist
49.8284631,18.2049575,-89.9,-78.5,0.7,0.784881051425754
49.8284631,18.2049575,-90,-78.3,0.8,0.784881051425754
49.8284631,18.2049575,-83,-71,2.8,0.784881051425754
49.8284631,18.2049575,-81,-72.4,7,0.784881051425754
49.8284631,18.2049575,-81.4,-72.4,6.7,0.784881051425754
49.8284631,18.2049575,-81.8,-72.8,6.9,0.784881051425754
49.8284631,18.2049575,-82.3,-73,5.8,0.784881051425754
49.8284631,18.2049575,-84,-72.1,0.8,0.784881051425754
49.8284631,18.2049575,-82.1,-73,6.1,0.784881051425754
49.8284631,18.2049575,-86.4,-76.1,2.8,0.784881051425754
49.8301206,18.1857286,-54.8,-49,23.3,0.320122781948634
49.8301206,18.1857286,-57.7,-49.7,20.6,0.320122781948634
49.8301206,18.1857286,-54.3,-47.1,24.9,0.320122781948634
49.8301206,18.1857286,-54.8,-47.5,25.4,0.320122781948634
49.8301206,18.1857286,-54,-46.6,25.4,0.320122781948634
49.8301206,18.1857286,-61.2,-54.6,18.7,0.320122781948634
49.8301206,18.1857286,-55.3,-48.4,25.8,0.320122781948634
49.8301206,18.1857286,-61.3,-54.6,21.4,0.320122781948634
49.8301206,18.1857286,-53.6,-46.8,27.8,0.320122781948634
49.8301206,18.1857286,-52.9,-45.8,28.7,0.320122781948634
49.8301206,18.1857286,-66.4,-60.7,27.3,0.320122781948634
49.8436661,18.1239358,-83.2,-76.2,9.9,0.377653194609912
49.8436661,18.1239358,-84.1,-73.7,5.3,0.377653194609912
49.8436661,18.1239358,-73.4,-66.1,12.6,0.377653194609912
49.8436661,18.1239358,-69.5,-62.6,16.3,0.377653194609912
49.8436661,18.1239358,-78.4,-68.8,5,0.377653194609912
49.8436661,18.1239358,-74.2,-65.2,12.6,0.377653194609912
49.8436661,18.1239358,-68.3,-60.9,16.4,0.377653194609912
49.8436661,18.1239358,-81.1,-72.4,8,0.377653194609912
49.8436661,18.1239358,-83.7,-75,6.6,0.377653194609912
49.8436661,18.1239358,-82.9,-74.4,9.7,0.377653194609912
49.8376481,18.1444633,-73.4,-67.4,20,0.875411891564467
49.8376481,18.1444633,-76.6,-67.5,17.6,0.875411891564467
49.8376481,18.1444633,-77.9,-69.2,16.1,0.875411891564467
49.8376481,18.1444633,-78.6,-70,14.6,0.875411891564467
49.8376481,18.1444633,-77.8,-68.5,15.8,0.875411891564467
49.8376481,18.1444633,-77.5,-69.4,17,0.875411891564467
49.8376481,18.1444633,-77.9,-69.5,15.6,0.875411891564467
49.8376481,18.1444633,-80.4,-71.1,14.6,0.875411891564467
49.8376481,18.1444633,-77.8,-69.1,16,0.875411891564467
49.8376481,18.1444633,-80.9,-71.7,11.9,0.875411891564467
49.8237681,18.1676181,-70.6,-58.7,10.2,0.647204743323526
49.8237681,18.1676181,-66.2,-57.3,10.6,0.647204743323526
49.8237681,18.1676181,-66.6,-58.2,10,0.647204743323526
49.8237681,18.1676181,-66.8,-58.4,10,0.647204743323526
49.8237681,18.1676181,-66.7,-58.1,10.9,0.647204743323526
49.8237681,18.1676181,-66.8,-58.4,9.9,0.647204743323526
49.8237681,18.1676181,-67,-58.2,9.8,0.647204743323526
49.8237681,18.1676181,-65.2,-57.5,12.6,0.647204743323526
49.8505578,18.1692169,-80.6,-73.1,20.5,0.534518991193083
49.8505578,18.1692169,-81.2,-70.9,8.1,0.534518991193083
49.8505578,18.1692169,-87.1,-77.4,14.7,0.534518991193083
49.8505578,18.1692169,-85.5,-73.9,11.4,0.534518991193083
49.8505578,18.1692169,-85.2,-76,14.6,0.534518991193083
49.8505578,18.1692169,-80.5,-71.6,20,0.534518991193083
49.8505578,18.1692169,-77.3,-68.6,18.2,0.534518991193083
49.8505578,18.1692169,-77.1,-68,17.8,0.534518991193083
49.8505578,18.1692169,-77.5,-69.2,18.9,0.534518991193083
49.8505578,18.1692169,-79.1,-69.8,16,0.534518991193083
49.8621567,18.14748,-78,-71.2,25.1,2.0946180279421
49.8621567,18.14748,-77.9,-70.3,21.6,2.0946180279421
49.8621567,18.14748,-75.6,-67.9,24.1,2.0946180279421
49.8621567,18.14748,-76.1,-68.9,23.4,2.0946180279421
49.8621567,18.14748,-75,-68,24.1,2.0946180279421
49.8621567,18.14748,-76.1,-68.5,23.4,2.0946180279421
49.8621567,18.14748,-76.4,-69,22.4,2.0946180279421
49.8621567,18.14748,-76.3,-69.2,22.8,2.0946180279421
49.8621567,18.14748,-77.3,-69.3,21.8,2.0946180279421
49.8621567,18.14748,-76,-68.5,22.6,2.0946180279421
49.8524972,18.1832028,-48.5,-42.6,29.2,0.145857308955365
49.8524972,18.1832028,-49.3,-42.4,27.6,0.145857308955365
49.8524972,18.1832028,-47.1,-40.1,25.3,0.145857308955365
49.8524972,18.1832028,-49.8,-42,23.2,0.145857308955365
49.8524972,18.1832028,-50,-42.7,27.6,0.145857308955365
49.8524972,18.1832028,-52.1,-43.8,25.8,0.145857308955365
49.8524972,18.1832028,-49.6,-42.2,27.1,0.145857308955365
49.8524972,18.1832028,-51.3,-42.9,24.8,0.145857308955365
49.8524972,18.1832028,-52.2,-45.2,24.9,0.145857308955365
49.8524972,18.1832028,-52.4,-45.1,26.3,0.145857308955365
49.8118947,18.1985811,-81.1,-74.7,13.2,1.06854781043925
49.8118947,18.1985811,-81.2,-74.1,14.3,1.06854781043925
49.8118947,18.1985811,-81.8,-72.8,6.8,1.06854781043925
49.8118947,18.1985811,-81.5,-72.5,7.2,1.06854781043925
49.8118947,18.1985811,-83.9,-74.3,5.9,1.06854781043925
49.8118947,18.1985811,-84.5,-75.2,6,1.06854781043925
49.8118947,18.1985811,-83.7,-75.2,8.6,1.06854781043925
49.8118947,18.1985811,-84.6,-75.8,6.7,1.06854781043925
49.8118947,18.1985811,-91.3,-83.6,11.3,1.06854781043925
49.8056869,18.1685047,-90.4,-82.4,5.5,0.869116402336118
49.8056869,18.1685047,-90.3,-82.7,6.9,0.869116402336118
49.8056869,18.1685047,-91.1,-81.2,5.2,0.869116402336118
49.8056869,18.1685047,-91.3,-82.3,6.6,0.869116402336118
49.8056869,18.1685047,-91.5,-82.3,5.3,0.869116402336118
49.8056869,18.1685047,-91.5,-82.2,5.7,0.869116402336118
49.8056869,18.1685047,-91.2,-82,6.4,0.869116402336118
49.8056869,18.1685047,-90.7,-83.2,9.6,0.869116402336118
49.8056869,18.1685047,-91.5,-82.6,5.3,0.869116402336118
49.8056869,18.1685047,-89.9,-80.4,3.4,0.869116402336118
49.7876686,18.1626483,-61.5,-55.7,25.5,0.589835746307279
49.7876686,18.1626483,-65.5,-59.1,22.5,0.589835746307279
49.7876686,18.1626483,-61.9,-54.1,21.4,0.589835746307279
49.7876686,18.1626483,-55.2,-49,24.4,0.589835746307279
49.7876686,18.1626483,-55.3,-49,26.2,0.589835746307279
49.7876686,18.1626483,-60.8,-53.8,24.8,0.589835746307279
49.7876686,18.1626483,-69.2,-62.6,23.6,0.589835746307279
