Lat,Lon,RSSI,SNR,Dist
49.2064669,16.6122628,-126,14.02,26.7662651479222
49.2064669,16.6122628,-115,13.84,5.58200532945257
49.2064669,16.6122628,-124,13.44,5.26792430421554
49.2064669,16.6122628,-121,12.63,2.89215676876675
49.2064669,16.6122628,-123,12.57,5.26792430421554
49.2064669,16.6122628,-115,12.41,5.58200532945257
49.2064669,16.6122628,-94,12.28,0.904979698165753
49.2064669,16.6122628,-127,12.12,26.7662651479222
49.2095144,16.6157014,-109,13.96,5.67391401726847
49.2095144,16.6157014,-112,13.25,3.02720717054112
49.2095144,16.6157014,-117,12.05,3.2116188047973
49.2095144,16.6157014,-96,11.05,1.32592378894214
49.2095144,16.6157014,-115,14.07,3.02720717054112
49.2095144,16.6157014,-102,13.86,5.67391401726847
49.2095144,16.6157014,-109,13.56,3.2116188047973
49.2095144,16.6157014,-129,13.41,4.09105398530713
49.2104719,16.6185339,-114,14.16,3.43865746766095
49.2104719,16.6185339,-120,13.68,27.0474139569538
49.2104719,16.6185339,-113,13.63,4.17715478122786
49.2104719,16.6185339,-121,13.36,5.90113651973661
49.2104719,16.6185339,-110,13.61,2.09245226707576
49.2104719,16.6185339,-113,13.32,3.43865746766095
49.2104719,16.6185339,-116,13.28,4.17715478122786
49.2104719,16.6185339,-120,12.38,5.43672887958511
49.2079353,16.6203753,-108,12.79,2.31472203458076
49.2079353,16.6203753,-103,12.3,2.66252213512282
49.2079353,16.6203753,-107,11.9,1.44066205484197
49.2079353,16.6203753,-114,11.62,3.88799627101791
49.2079353,16.6203753,-132,30,5.74522934932977
49.2079353,16.6203753,-108,13.97,2.31472203458076
49.2079353,16.6203753,-122,13.92,3.88799627101791
49.2079353,16.6203753,-110,13.62,3.50165049696927
49.2079353,16.6203753,-109,13.95,3.50165049696927
49.2079353,16.6203753,-107,13.63,2.66252213512282
49.2079353,16.6203753,-105,13.23,2.31472203458076
49.2079353,16.6203753,-108,13.03,1.44066205484197
49.2021217,16.6263108,-113,14.45,2.21387437333669
49.2021217,16.6263108,-135,12.04,5.86747764034157
49.2021217,16.6263108,-135,8.1,3.24940031647379
49.2021217,16.6263108,-132,8.01,1.5877709689783
49.2021217,16.6263108,-136,10.63,3.24940031647379
49.2021217,16.6263108,-106,8.7,2.21387437333669
49.2021217,16.6263108,-138,6.96,25.9930587060843
49.2021217,16.6263108,-133,6,5.86747764034157
49.2021217,16.6263108,-120,13.45,1.5877709689783
49.2021217,16.6263108,-129,13.19,3.24940031647379
49.2021217,16.6263108,-133,11.63,25.9930587060843
49.2021217,16.6263108,-108,11.03,2.21387437333669
49.2001797,16.6260992,-119,14.1,5.75614424995818
49.2001797,16.6260992,-112,12.52,2.26286729848154
49.2001797,16.6260992,-127,11.6,3.03292969778625
49.2001797,16.6260992,-124,10.85,3.85490666781089
49.1981506,16.6194833,-126,14.59,5.22518549656126
49.1981506,16.6194833,-122,13.52,2.80578151070117
49.1981506,16.6194833,-108,13.3,1.09364090076701
49.1981506,16.6194833,-105,11.51,2.78206684179681
49.1981506,16.6194833,-102,13.01,2.78206684179681
49.1981506,16.6194833,-111,8.69,1.09364090076701
49.1954878,16.6138614,-115,14.21,3.04372183867489
49.1954878,16.6138614,-121,13.86,4.72895557749691
49.1954878,16.6138614,-108,13.42,3.25620397381388
49.1954878,16.6138614,-115,13.29,3.77669020773162
49.1954878,16.6138614,-109,13.38,3.25620397381388
49.1954878,16.6138614,-115,12.15,3.04372183867489
49.1954878,16.6138614,-111,12.13,0.833580336516973
49.1954878,16.6138614,-116,11.46,3.77669020773162
49.2036706,16.6067375,-121,13.83,3.62325143706504
49.2036706,16.6067375,-118,12.42,3.15724518407658
49.2036706,16.6067375,-104,12.18,0.434168747274215
49.2036706,16.6067375,-128,11.53,26.605417357017
49.2036706,16.6067375,-98,12.38,0.434168747274215
49.2036706,16.6067375,-125,10.83,3.62325143706504
49.1991383,16.60865,-102,14.25,3.53075264650608
49.1991383,16.60865,-97,14.03,0.302570430294298
49.1991383,16.60865,-128,13.84,3.07820583199355
49.1991383,16.60865,-129,13.22,4.58780220917915
49.1991383,16.60865,-104,13.93,3.53075264650608
49.1991383,16.60865,-126,10.08,6.20909335399521
49.1991383,16.60865,-94,9.52,0.302570430294298
49.1991383,16.60865,-120,7.82,3.53552653412707
49.2009622,16.6137958,-130,13.85,3.17441463813428
49.2009622,16.6137958,-93,13.44,0.669473291566813
49.2009622,16.6137958,-120,12.93,2.95822573098036
49.2009622,16.6137958,-114,12.84,3.13193491525679
49.2009622,16.6137958,-94,14.4,0.669473291566813
49.2009622,16.6137958,-119,11.6,6.1777413935815
49.2009622,16.6137958,-121,9.25,3.13193491525679
49.2009622,16.6137958,-126,6,2.95822573098036
49.2030336,16.6190153,-103,14.88,1.09341029686131
49.2030336,16.6190153,-121,14.21,26.2491623622928
49.2030336,16.6190153,-120,12.75,3.34973446271948
49.2030336,16.6190153,-128,12.6,5.45625113376787
49.2030336,16.6190153,-106,13.47,1.09341029686131
49.2030336,16.6190153,-107,12.89,2.73422351271111
49.2030336,16.6190153,-133,12.79,9.38935877217818
49.2030336,16.6190153,-125,12.06,26.2491623622928
49.2123147,16.6250422,-102,14.19,2.45964491092608
49.2123147,16.6250422,-113,14.15,2.01470462015098
49.2123147,16.6250422,-118,14.04,6.40033760462153
49.2123147,16.6250422,-101,13.61,1.76167227319371
49.2123147,16.6250422,-121,13.47,3.9504166814203
49.2123147,16.6250422,-101,13.28,1.76167227319371
49.2123147,16.6250422,-101,13.09,2.45964491092608
49.2123147,16.6250422,-114,12.87,2.01470462015098
49.2091483,16.6237694,-118,14.86,4.0204113490419
49.2091483,16.6237694,-121,14.41,26.7942925995187
49.2091483,16.6237694,-110,14.31,2.44522341512434
49.2091483,16.6237694,-122,14,6.11797600354035
49.2091483,16.6237694,-124,12.03,6.11797600354035
49.2091483,16.6237694,-118,11.1,2.44522341512434
49.2091483,16.6237694,-131,10.11,26.7942925995187
49.2091483,16.6237694,-125,10.04,1.71875626382924
49.2042272,16.6240794,-121,13.61,3.47397509344313
49.2042272,16.6240794,-123,13.55,26.2644568529514
49.2042272,16.6240794,-128,13.11,9.71109179426045
49.2042272,16.6240794,-114,12.14,2.36266446620824
49.2042272,16.6240794,-122,13.04,3.47397509344313
49.2042272,16.6240794,-124,12.04,26.2644568529514
49.2042272,16.6240794,-108,8.04,2.66051578210399
49.2042272,16.6240794,-131,6.94,5.84005120520828
49.2044142,16.6256792,-119,9.61,2.62545195720033
49.2044142,16.6256792,-113,9.21,2.24645534600956
49.2044142,16.6256792,-116,12.71,2.62545195720033
49.2044142,16.6256792,-121,12.58,1.60130287206296
49.2044142,16.6256792,-109,10.76,2.24645534600956
49.2044142,16.6256792,-131,9.01,3.83105906946609
49.2071689,16.6274,-116,13.5,2.14519503217053
49.2071689,16.6274,-118,13.37,2.30976868661032
49.2071689,16.6274,-139,11.69,3.81539275576979
49.2071689,16.6274,-137,10.67,10.1175262464133
49.2071689,16.6274,-116,12.96,2.14519503217053
49.2071689,16.6274,-115,11.78,2.30976868661032
49.2071689,16.6274,-140,9.18,3.81539275576979
49.2071689,16.6274,-132,7.99,1.83174673823696
49.2086675,16.6300581,-110,14.6,1.98842387182892
49.2086675,16.6300581,-117,8.93,2.13909346980021
49.2086675,16.6300581,-104,14.68,1.98842387182892
49.2086675,16.6300581,-110,12.16,2.13909346980021
49.2086675,16.6300581,-138,10.47,4.00291196481342
49.2086675,16.6300581,-120,10.41,2.0791575091793
49.2109756,16.6338022,-114,12.62,1.81490797137956
49.2109756,16.6338022,-129,10.44,4.30045051628124
49.2109756,16.6338022,-128,10.32,4.52636841204803
49.2109756,16.6338022,-139,6,26.7879929126721
49.2109756,16.6338022,-122,13.37,2.44120922174807
49.2109756,16.6338022,-132,13.06,4.30045051628124
49.2109756,16.6338022,-137,10.13,10.7344833380424
49.2109756,16.6338022,-133,9.45,6.83582011686231
49.2143325,16.6379369,-126,14.02,11.2133122410672
49.2143325,16.6379369,-92,13.75,1.75571888484659
49.2143325,16.6379369,-122,13.52,7.29244033586062
49.2143325,16.6379369,-124,12.86,4.91192370799256
49.2143325,16.6379369,-107,12.01,2.89308416953944
49.2143325,16.6379369,-90,11.81,1.75571888484659
49.2143325,16.6379369,-118,11.31,7.29244033586062
49.2143325,16.6379369,-129,10.43,4.729165649168
49.2280694,16.6524892,-131,30,8.13138630623779
49.2280694,16.6524892,-119,14.01,6.46408240823252
49.2280694,16.6524892,-122,13.3,9.04926334420214
49.2280694,16.6524892,-132,13.19,13.0695234567433
49.2280694,16.6524892,-103,13.83,2.65985206654775
49.2280694,16.6524892,-118,13.08,6.46408240823252
49.2280694,16.6524892,-122,12.49,9.04926334420214
49.2280694,16.6524892,-131,11.52,13.0695234567433
49.22736,16.6492519,-100,14.44,1.44282659027951
49.22736,16.6492519,-118,11.04,2.61911574953415
49.22736,16.6492519,-133,10.48,6.34717066943635
49.22736,16.6492519,-116,12.34,2.61911574953415
49.22736,16.6492519,-96,11.97,1.44282659027951
49.22736,16.6492519,-133,9.93,6.34717066943635
49.22736,16.6492519,-136,9.9,12.8667338633902
49.22588,16.6452889,-116,14.52,2.53634138251362
49.22588,16.6452889,-128,12.51,6.10671761603589
49.22588,16.6452889,-93,12.3,1.17547408861211
49.22588,16.6452889,-136,9.78,12.5651784306095
49.22588,16.6452889,-130,12.35,6.10671761603589
49.22588,16.6452889,-114,12.15,2.53634138251362
49.22588,16.6452889,-97,11.37,1.17547408861211
49.22588,16.6452889,-138,8.03,8.48929164564094
49.2227136,16.64479,-99,12.65,2.21994688443069
49.2227136,16.64479,-100,12.45,1.25764178538139
49.2227136,16.64479,-123,10.85,5.7582443656363
49.2227136,16.64479,-129,9.33,8.2420749882474
49.2200128,16.6433417,-110,14.41,1.9950362889504
49.2200128,16.6433417,-126,12.96,5.44051351767058
49.2200128,16.6433417,-111,12.32,1.33950098740578
49.2200128,16.6433417,-133,10.07,5.48964346211631
49.2200128,16.6433417,-124,11.91,3.58210500069938
49.2200128,16.6433417,-110,11.66,1.9950362889504
49.2200128,16.6433417,-127,10.89,5.44051351767058
49.2200128,16.6433417,-130,10.35,7.97753694693886
49.2154542,16.6433778,-93,14.51,1.7163114261748
49.2154542,16.6433778,-116,14.42,4.95626710554274
49.2154542,16.6433778,-118,14.31,7.69045995290141
49.2154542,16.6433778,-124,14.14,11.5530512766784
49.2154542,16.6433778,-117,14.36,4.95626710554274
49.2154542,16.6433778,-115,13.97,3.29361012325035
49.2154542,16.6433778,-103,13.87,1.56871807236571
49.2154542,16.6433778,-95,12.74,1.7163114261748
49.2137792,16.6366669,-118,13.73,11.1087566142291
49.2137792,16.6366669,-118,13.44,4.64823535554835
49.2137792,16.6366669,-117,13.09,7.18156081282862
49.2137792,16.6366669,-113,12.08,2.78220282710473
49.2137792,16.6366669,-111,13.68,1.65648854774759
49.2137792,16.6366669,-93,12.62,1.79102099399695
49.2137792,16.6366669,-126,12.24,11.1087566142291
49.2137792,16.6366669,-117,12.02,7.18156081282862
49.2137792,16.6366669,-89,13.34,1.79102099399695
49.2137792,16.6366669,-108,12.89,1.65648854774759
49.2137792,16.6366669,-118,12.52,11.1087566142291
49.2137792,16.6366669,-114,12.31,7.18156081282862
49.2137792,16.6366669,-111,14.52,2.78220282710473
49.2137792,16.6366669,-116,13.25,11.1087566142291
49.2137792,16.6366669,-126,13.11,4.64823535554835
49.2137792,16.6366669,-110,12.44,1.65648854774759
49.2173539,16.6281014,-116,13.92,2.52835076911949
49.2173539,16.6281014,-122,13.86,6.9230920542127
49.2173539,16.6281014,-98,13.73,1.17646062256052
49.2173539,16.6281014,-131,12.68,27.5819739740167
49.2173539,16.6281014,-124,12.32,4.94810989570404
49.2173539,16.6281014,-116,11.83,4.35373635848396
49.2173539,16.6281014,-114,11.8,2.52835076911949
49.2173539,16.6281014,-118,11.7,5.29454214626277
49.1974453,16.5811842,-101,13.94,2.92705624679738
49.1974453,16.5811842,-119,13.64,26.6575333769265
49.1974453,16.5811842,-115,13.2,0.761239004490631
49.1974453,16.5811842,-115,12.87,1.73208843055496
49.1974453,16.5811842,-124,13.77,5.53215997193489
49.1974453,16.5811842,-121,13.33,0.761239004490631
49.1974453,16.5811842,-96,13.27,2.92705624679738
49.1974453,16.5811842,-114,12.8,7.55309522228393
49.1990358,16.5788856,-119,14.37,26.8872844168988
49.1990358,16.5788856,-118,14.32,4.29826151132686
49.1990358,16.5788856,-104,14.3,0.520747027330958
49.1990358,16.5788856,-123,14.09,5.67657730011837
49.1990358,16.5788856,-109,14.48,1.87868097158366
49.1990358,16.5788856,-119,13.75,26.8872844168988
49.1990358,16.5788856,-105,13.7,0.520747027330958
49.1990358,16.5788856,-118,13.67,5.67657730011837
49.2011339,16.5756964,-104,13.95,3.03156287509117
49.2011339,16.5756964,-92,13.62,0.202661100858607
49.2011339,16.5756964,-111,13.49,4.90656664438951
49.2011339,16.5756964,-121,13.21,27.1954499785561
49.2011339,16.5756964,-91,13.69,0.202661100858607
49.2011339,16.5756964,-109,12.96,5.52274705969506
49.2011339,16.5756964,-123,12.9,7.81720788106003
49.2011339,16.5756964,-108,12.13,3.03156287509117
49.1994092,16.5705989,-83,14.83,0.32201869965722
49.1994092,16.5705989,-114,14.35,7.53451212386237
49.1994092,16.5705989,-118,11.62,2.69011309175396
49.1994092,16.5705989,-137,11.1,4.78608530963405
49.1994092,16.5705989,-83,13.81,0.32201869965722
49.1994092,16.5705989,-114,11.91,7.53451212386237
49.1994092,16.5705989,-119,11.9,2.69011309175396
49.1994092,16.5705989,-132,9.7,12.5080842897443
49.1981278,16.5737464,-101,13.42,2.67153180448144
49.1981278,16.5737464,-124,13.17,26.9514297092311
49.1981278,16.5737464,-108,12.59,0.411022659769597
49.1981278,16.5737464,-116,11.21,7.45663241001341
49.1965869,16.5779519,-123,14.13,4.17238967436597
49.1965869,16.5779519,-109,14.05,7.38472972706082
49.1965869,16.5779519,-116,14.03,26.6674907671098
49.1965869,16.5779519,-114,13.98,0.678451665744778
49.1965869,16.5779519,-121,13.18,26.6674907671098
49.1965869,16.5779519,-117,12.96,7.38472972706082
49.1965869,16.5779519,-117,10.85,0.678451665744778
49.1965869,16.5779519,-103,10.64,2.70391622582575
49.1935922,16.5768322,-103,14.09,2.39638970256137
49.1935922,16.5768322,-107,13.35,0.952103775136631
49.1935922,16.5768322,-132,10.12,7.04332468891159
49.1935922,16.5768322,-108,13.03,2.39638970256137
49.1935922,16.5768322,-107,12.05,0.952103775136631
49.1935922,16.5768322,-138,9.94,7.04332468891159
49.1946753,16.5828283,-118,14.56,1.69593126307683
49.1946753,16.5828283,-111,13.58,1.06173255154937
49.1946753,16.5828283,-129,12.75,6.32441688536112
49.1946753,16.5828283,-103,12.34,2.78698796992529
49.1946753,16.5828283,-128,13,7.30863428671849
49.1946753,16.5828283,-116,11.02,1.06173255154937
49.1946753,16.5828283,-132,9.56,3.76361734808753
49.1946753,16.5828283,-135,6,6.32441688536112
49.1949728,16.5857961,-135,30,10.0081828966531
49.1949728,16.5857961,-118,13.87,3.62281906533557
49.1949728,16.5857961,-114,13.28,4.84126721752354
49.1949728,16.5857961,-96,13.21,1.48296488147652
49.1949728,16.5857961,-97,14.28,1.48296488147652
49.1949728,16.5857961,-118,14.1,3.62281906533557
49.1949728,16.5857961,-122,13.8,6.24670603807517
49.1949728,16.5857961,-111,13.75,2.96931863188177
49.1952439,16.5877622,-112,14.08,5.10194626171771
49.1952439,16.5877622,-115,13.5,1.29089545496084
49.1952439,16.5877622,-110,13.11,4.72584979669579
49.1952439,16.5877622,-121,12.32,3.53962337133405
49.1952439,16.5877622,-122,13.96,3.53962337133405
49.1952439,16.5877622,-94,13.72,1.33952919232857
49.1952439,16.5877622,-111,13.11,4.72584979669579
49.1952439,16.5877622,-132,11.91,7.50758675776335
49.2022022,16.5816456,-110,14.1,0.622482515903965
49.2022022,16.5816456,-107,13.87,1.69283436001384
49.2022022,16.5816456,-113,13.37,4.49406392526388
49.2022022,16.5816456,-127,13.3,4.40485396878023
49.2022022,16.5816456,-112,12.56,4.49406392526388
49.2022022,16.5816456,-121,12.42,5.41828634310866
49.2022022,16.5816456,-126,11.54,3.36489429708584
49.2022022,16.5816456,-123,10.9,4.40485396878023
49.2076953,16.5831261,-103,14.32,4.81934473751698
49.2076953,16.5831261,-91,14.19,0.979939307109907
49.2076953,16.5831261,-102,14.02,4.04268196232959
49.2076953,16.5831261,-130,12.92,3.93451686544135
49.2076953,16.5831261,-104,13.88,4.04268196232959
49.2076953,16.5831261,-100,12.59,4.81934473751698
49.2076953,16.5831261,-96,12.46,0.979939307109907
49.2076953,16.5831261,-119,11.16,5.35109211794105
49.2060739,16.5933747,-118,13.84,5.12731023238539
49.2060739,16.5933747,-112,13.78,3.56884968200615
49.2060739,16.5933747,-102,13.76,1.06450497130944
49.2060739,16.5933747,-128,11.39,4.5975218378839
49.2060739,16.5933747,-103,13.22,1.06450497130944
49.2060739,16.5933747,-114,12.95,5.12731023238539
49.2060739,16.5933747,-118,11.86,1.547751280287
49.2060739,16.5933747,-134,11.33,4.24688077182395
49.2105525,16.5858819,-98,13.44,1.34515725056204
49.2105525,16.5858819,-118,10.49,4.31000337367191
49.2105525,16.5858819,-126,9.71,4.53020594563253
49.2105525,16.5858819,-127,8,5.18423489566181
49.2105525,16.5858819,-117,30,6.13756309384523
49.2105525,16.5858819,-120,13.54,1.80162766727685
49.2105525,16.5858819,-120,13.25,4.31000337367191
49.2105525,16.5858819,-97,13.16,1.34515725056204
49.211315,16.5834022,-101,13.68,1.29597656268504
49.211315,16.5834022,-130,6,1.99424492308965
49.211315,16.5834022,-126,6,4.42157342845912
49.211315,16.5834022,-99,13.67,1.29597656268504
49.211315,16.5834022,-127,11.64,1.99424492308965
49.211315,16.5834022,-133,9.94,4.42157342845912
49.2122725,16.5788344,-106,12.78,1.23676266819858
49.2122725,16.5788344,-133,6,5.71841374661782
49.2122725,16.5788344,-107,11.25,1.23676266819858
49.2122725,16.5788344,-132,9.13,5.71841374661782
49.2122725,16.5788344,-139,6,5.6129079629572
49.2122725,16.5788344,-137,6,4.23967289520697
49.2136994,16.5746503,-108,11.79,1.32793913298336
49.2136994,16.5746503,-136,6.08,4.27338147230614
49.2136994,16.5746503,-111,12.71,1.32793913298336
49.2136994,16.5746503,-135,8.11,2.66196385744239
49.2147181,16.5686072,-92,13.66,1.4730418734833
49.2147181,16.5686072,-125,13.51,6.49620148114413
49.2147181,16.5686072,-130,13.42,9.16675746681725
49.2147181,16.5686072,-132,11.61,4.86024199368091
49.2147181,16.5686072,-96,12.54,1.4730418734833
49.2147181,16.5686072,-131,11.33,9.16675746681725
49.2147181,16.5686072,-127,11.25,6.49620148114413
49.2147181,16.5686072,-133,10.95,4.25663665342585
49.2161028,16.56412,-102,11.25,1.71899008520212
